.15:22:45.992 INFO  com.example.Application - Starting Application on life-ThinkPad-E550 with PID 26618 (/home/life/workspace/mygithub/SpringBootDemoFramework/target/classes started by life in /home/life/workspace/mygithub/SpringBootDemoFramework) 
.15:22:50.237 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'testMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:50.297 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'masterDataSource' of type [class org.apache.tomcat.jdbc.pool.DataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:50.328 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'masterSqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:50.328 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'masterMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:50.482 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b280a72c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
.15:22:51.179 INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http) 
.15:22:51.200 INFO  o.a.catalina.core.StandardService - Starting service Tomcat 
.15:22:51.202 INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.0.33 
.15:22:51.399 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
.15:22:51.400 INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5084 ms 
.15:22:52.028 INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/] 
.15:22:52.035 INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*] 
.15:22:52.036 INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
.15:22:52.036 INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*] 
.15:22:52.036 INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*] 
.15:22:52.483 INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500} 
.15:22:52.484 INFO  org.mongodb.driver.cluster - Adding discovered server 127.0.0.1:27017 to client view of cluster 
.15:22:53.001 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:1}] to 127.0.0.1:27017 
.15:22:53.003 INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[2, 4, 9]}, minWireVersion=0, maxWireVersion=0, maxDocumentSize=16777216, roundTripTimeNanos=945952} 
.15:22:53.004 INFO  org.mongodb.driver.cluster - Discovered cluster type of STANDALONE 
.15:22:53.692 INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2cbb3d47: startup date [Wed Sep 28 15:22:46 CST 2016]; root of context hierarchy 
.15:22:53.768 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file/downloadfile]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.example.controller.FileController.download(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException 
.15:22:53.769 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/file/uploadfile]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.example.controller.FileController.save(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException 
.15:22:53.770 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/downloadfile]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.example.controller.BatchFileUploadController.download(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException 
.15:22:53.771 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/batch/upload],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.example.controller.BatchFileUploadController.handleFileUpload(javax.servlet.http.HttpServletRequest) 
.15:22:53.772 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/show2]}" onto public java.lang.String com.example.controller.TestController.show() 
.15:22:53.773 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/showDao2]}" onto public java.lang.Object com.example.controller.TestController.showDao() 
.15:22:53.773 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/country/{country}]}" onto public java.lang.Object com.example.controller.TestController.showDao(java.lang.String) 
.15:22:53.773 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test]}" onto public java.lang.String com.example.controller.TestController.getTest() 
.15:22:53.774 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/upload],methods=[POST]}" onto public java.lang.String com.example.controller.FileUploadController.handleFileUpload(java.lang.String,org.springframework.web.multipart.MultipartFile) 
.15:22:53.775 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/upload],methods=[GET]}" onto public java.lang.String com.example.controller.FileUploadController.provideUploadInfo() 
.15:22:53.776 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/findByName]}" onto public com.example.mongo.model.DemoInfo com.example.mongo.controller.DemoController.findByName() 
.15:22:53.776 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/find]}" onto public java.util.List<com.example.mongo.model.DemoInfo> com.example.mongo.controller.DemoController.find() 
.15:22:53.777 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/save]}" onto public java.lang.String com.example.mongo.controller.DemoController.save() 
.15:22:53.783 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
.15:22:53.784 INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
.15:22:53.832 INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
.15:22:53.833 INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
.15:22:53.879 INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
.15:22:54.588 INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
.15:22:54.682 INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http) 
.15:22:54.688 INFO  com.example.Application - Started Application in 9.772 seconds (JVM running for 10.778) 
.15:22:54.688 INFO  com.example.Application - SpringBoot Start Success 
